id,bezirk,name,strasse,plz,von,bis,veranstalter,oeffnungszeiten,email,w3,bemerkungen
58,Treptow-Köpenick,Winterzauber Weihnachtsmarkt,Möllhausenufer 30,12555,01.11.2024,31.12.2024,Strandbad Wendenschloss GmbH,12:00 - 20:00 Uhr,info@strandbad-wendenschloss.berlin,https://strandbad-wendenschloss.berlin,/
181,Mitte,Smash Burger,"Landsberger Allee, Rotes Rathaus, Alexander Platz",10178,01.11.2024,28.12.2024,Mr. Smash Burger,14:00 Uhr bis 23:00 Uhr,vivien-selimi@gmx.de,/,/
214,Mitte,Weddingmarkt,Leopoldplatz,13353,01.12. / 08.12. / 15.12. / 22.12.2024,,Weddingmarkt - Sabrina Pützer,11:00 Uhr bis 19:00 Uhr,weddingkulturmarkt@gmail.com,https://www.wedding-markt.de/,"Weddingmarkt wird Weihnachtsmarkt. An allen 4. Adventssonntagen vor Weihnachten! 100 Stände, Streetfood & Nebenprogramm. 01., 08., 15. und 22. Dezember. 11 – 19 Uhr. Leopoldplatz, Barrierefrei. besondere Attraktionen: 100 Stände mit handgefertigten Geschenken: Design, Fotografie, Keramik, Illustrationen, Malerei, Wohnaccessoires, Möbel, Schmuck, Mode, Spirituosen, Tees und vieles mehr.. Himmlisches Essen: Spätzle, Maultaschen, Knödel, Galettes & Crepe, mexikanischen Tacos, Koreanische Spezialitäten, Waffeln, Churros, Alfajores etc... Nebenprogramm: Musik, Lagerfeuer & Stockbrot... Glühwein & Apfelpunsch.. Ganz viel Kiezliebe... Eintritt natürlich frei. An allen vier Adventssonntagen wird der Weddingmarkt im winterlichen Glanz erstrahlen – am 01., 08., 15. und 22. Dezember 2024 von 11-19 Uhr – mitten im Stadtteil Wedding auf dem Leopoldplatz, vor der historischen Schinkel-Kirche (Alte Nazarethkirche). Dieses Jahr können ganz besondere Geschenke unter den Weihnachtsbaum gelegt werden, denn der Besuch beim weihnachtlichen Weddingmarkt verspricht außergewöhnliche Kunst, Design und echte Handwerksliebe. Viele Weddinger Labels zeigen draußen auf dem Leopoldplatz die hochwertige Vielfalt des lebendigen Stadtteils. Die Besucher erwarten rund 100 Stände mit Design, Fotografie, Keramik, Illustrationen, Malerei, Wohnaccessoires, Möbel, Schmuck, Mode, Spirituosen, Tees und vieles mehr. Insgesamt wirken rund 250 verschiedene Aussteller an vier Terminen mit, sodass der Besuch jedesmal abwechslungsreich und lohnenswert ist. Zudem gibt es internationales Streetfood mit schwäbischen Maultaschen und Spätzle, französischen Galettes, mexikanischen Tacos, asiatischen Barbecue, bis hinzu knusprigen Waffeln ist alles für den anspruchsvollen Gaumen dabei. Glühwein und Lagerfeuer mit kostenloser „Stockbrot-Station“ für die kleinen Besucher laden zur weihnachtlichen Atmosphäre ein. Das Ganze wird begleitet durch ein künstlerisches Nebenprogramm mit Musik und vielen weiteren Überraschungen. Der Eintritt zum Markt ist wie immer frei. Im Vorfeld werden über Social Media Weddingmarkt-Unikate als Adventskalender. Alle aktuellen Informationen unter: wedding-markt.de .. Instagram: https://www.instagram.com/weddingmarkt"
61,Steglitz-Zehlendorf,Kunsthandwerklicher Weihnachtsmarkt Mexikoplatz,Mexikoplatz und Bülowstraße 1-8,14163,01.12. / 15.12. / 22.12.2024,,KUNSTHAND-BERLIN Cornelja Hasler,11:00 - 18:00 Uhr,info@kunsthand-berlin.de,https://kunsthand-berlin.de/,"Es werden nur handgefertigte Objekte kleiner Ateliers und Werkstätten gezeigt, die Kunsthandwerker sind vor Ort.
Keine Handels-/Importware! Kein Rahmenprogramm."
97,Mitte,Adventsbasar an der Heilandskirche,Thusnelda-Allee 1,10555,01.12.2024,01.12.2024,Marktzeit - Brigitta Voigt,12:00 -18:00 Uhr,marktzeit@posteo.de,https://www.marktzeit.berlin/,Adventsmarkt findet nur am 1. Advent statt.
145,Reinickendorf,Ökumenischer Adventsbasar im Pfarrgarten,Alt-Lübars 24,12469,01.12.2024,01.12.2024,Ev. Kirchengemeinde Lübars,12:00 Uhr - 17:00 Uhr,kirche-luebars@web.de,/,Rufnummer der Küsterei: 030 402 30 14
142,Mitte,Adventsbasar,Thusnelda-Allee 1,10551,01.12.2024,,Marktzeit Ökowochenmärkte und mehr,12:00 Uhr - 18:00 Uhr,marktzeit@posteo.de,/,/
34,Marzahn-Hellersdorf,Adventsmarkt,Alt-Marzahn 23,12685,01.12.2024,01.12.2024,AGRARBÖRSE Deutschland Ost e.V.,11:00 - 18:00,brost@agrar-boerse-ev.de,https://www.agrar-boerse-ev.de/inserat/kulturgut-alt-marzahn/,/
193,Charlottenburg-Wilmersdorf,Kunsthandwerklicher ADVENT am Karl-August-Platz,Karl-August-Platz,10625,01.12.2024,,Family & Friends e. V.,11:00 Uhr bis 18:00 Uhr,stadtkultur@family-and-friends-ev.de,https://www.family-and-friends-ev.de/kunsthandwerklicher-advent-am-1-und-8-dezember-2024,
82,Spandau,Adventsmarkt,Schönwalder Allee 26,13587,01.12.2024,01.12.2024,Evangelisches Johannesstift,"11 Uhr Gottesdienst Danach Markt rund um die Stiftskirche (12-19 Uhr). Posaunenmusik, christliche Weihnachtstraditionen.",kommunikation@evangelisches-johannesstift.de,https://www.evangelisches-johannesstift.de,/
