name,type_of_food,district,rating,total_ratings,price_level,takeout,delivery,dine_in,wheelchair_accessible_entrance,free_street_parking,population_density
Coréen Restaurant Berlin,Korean,Mitte,4.2,488,PRICE_LEVEL_MODERATE,True,False,True,False,False,10.08
Mmaah - Eat Korean!,Korean,Mitte,4.7,966,NO_PRICE_DATA,True,True,True,True,False,10.08
soopoollim,Korean,Mitte,4.8,412,NO_PRICE_DATA,True,True,True,False,False,10.08
YamYam Berlin,Korean,Mitte,4.3,3468,PRICE_LEVEL_MODERATE,True,True,True,False,False,10.08
Gippeum,Korean,Mitte,4.7,117,NO_PRICE_DATA,True,True,True,False,False,10.08
Wondeo Chikin - Korean Fried Chicken Halal,Korean,Mitte,4.4,696,NO_PRICE_DATA,True,True,True,False,False,10.08
youngheene,Korean,Mitte,4.5,205,NO_PRICE_DATA,True,True,True,False,False,10.08
MODU Korean Bistro,Korean,Mitte,5.0,85,NO_PRICE_DATA,False,True,True,False,False,10.08
GochuGang,Korean,Mitte,5.0,2,NO_PRICE_DATA,True,True,True,False,False,10.08
Han Factory,Korean,Mitte,4.7,1905,NO_PRICE_DATA,True,True,True,True,False,10.08
Gangnam - Korean Chicken Restaurant,Korean,Mitte,4.8,694,NO_PRICE_DATA,True,True,True,True,False,10.08
Maison Saveur - Korean BBQ,Korean,Mitte,4.8,327,NO_PRICE_DATA,True,False,True,False,False,10.08
"Oh My Bap Turmstraße(U9), Koreanische Küche/ Fried Chicken",Korean,Mitte,4.8,148,NO_PRICE_DATA,True,True,True,False,False,10.08
Korean Food Stories – Koreanisches Restaurant Berlin Prenzlauer Berg,Korean,Mitte,4.5,448,PRICE_LEVEL_MODERATE,True,True,True,True,False,10.08
CHOI,Korean,Mitte,4.7,339,NO_PRICE_DATA,True,False,True,False,False,10.08
Gochugang - Got Rice,Korean,Mitte,4.0,397,PRICE_LEVEL_MODERATE,True,True,True,False,False,10.08
Restaurant Dae Mon,Korean,Mitte,4.8,763,PRICE_LEVEL_EXPENSIVE,False,True,True,True,False,10.08
Seoul Garden (im Prenzlauer Berg),Korean,Mitte,4.7,401,PRICE_LEVEL_MODERATE,True,True,True,False,False,10.08
Dal Tokki,Korean,Mitte,4.8,93,NO_PRICE_DATA,True,True,True,False,False,10.08
GutenDag & GongGan Mauerpark - koreanisches Restaurant,Korean,Mitte,4.7,74,NO_PRICE_DATA,True,True,True,False,False,10.08
Han Sa Rang,Korean,Mitte,5.0,310,NO_PRICE_DATA,True,False,True,False,False,10.08
Shikgoo,Korean,Mitte,4.3,460,PRICE_LEVEL_MODERATE,True,False,True,False,False,10.08
Granny‘s 한상,Korean,Mitte,4.8,368,NO_PRICE_DATA,True,False,True,False,False,10.08
DUKKI,Korean,Mitte,4.8,179,NO_PRICE_DATA,True,False,True,False,False,10.08
Chibee,Korean,Mitte,4.2,1103,PRICE_LEVEL_MODERATE,True,True,True,False,True,10.08
Sam Yuk Gu,Korean,Mitte,4.3,747,PRICE_LEVEL_MODERATE,True,True,True,False,True,10.08
Corn Eatery,Korean,Mitte,4.8,86,NO_PRICE_DATA,True,True,True,False,False,10.08
CHIKOGI,Korean,Mitte,4.6,1135,PRICE_LEVEL_MODERATE,True,True,True,False,False,10.08
AIGO Korean Food Kreuzberg,Korean,Mitte,4.8,668,NO_PRICE_DATA,True,True,True,False,True,10.08
Namsan Berlin,Korean,Mitte,4.9,501,NO_PRICE_DATA,True,True,True,False,False,10.08
Son Kitchen,Korean,Mitte,4.3,205,NO_PRICE_DATA,True,True,True,True,False,10.08
Basak Chicken - Original koreanisches Yangnyeom-Chicken,Korean,Mitte,4.9,155,NO_PRICE_DATA,True,True,True,False,False,10.08
Seoul garden,Korean,Mitte,4.5,1362,PRICE_LEVEL_MODERATE,True,True,True,True,False,10.08
Arirang Restaurant,Korean,Mitte,3.9,1920,PRICE_LEVEL_INEXPENSIVE,True,False,True,False,False,10.08
Han BBQ,Korean,Mitte,4.7,1455,PRICE_LEVEL_MODERATE,True,False,True,False,False,10.08
MIDAM Korean BBQ Restaurant,Korean,Mitte,4.6,326,NO_PRICE_DATA,True,False,True,True,False,10.08
MOIM - korean cuisine (Charlottenburg-Wilmersdorf),Korean,Mitte,4.5,611,PRICE_LEVEL_MODERATE,True,True,True,True,False,10.08
Son Kitchen,Korean,Mitte,4.5,1098,PRICE_LEVEL_INEXPENSIVE,True,True,True,False,False,10.08
Mmaah - Eat Korean!,Korean,Mitte,4.5,1264,PRICE_LEVEL_MODERATE,True,True,True,False,False,10.08
Hansik Korea,Korean,Mitte,4.8,141,NO_PRICE_DATA,True,False,True,False,False,10.08
